,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR
120,lastfm,left,Left multiply,0.0028501272201538084,0.0002934058507283529,4468711.0,289992.0,0.09998,10.008567443713888
121,lastfm,left,Row summation,0.0076329549153645836,0.0026885271072387695,4468711.0,289992.0,0.09998,10.008567443713888
122,lastfm,left,Column summation,0.014087613423665364,0.00532079537709554,4468711.0,289992.0,0.09998,10.008567443713888
123,lastfm,left,Materialization,,0.07531387011210124,,,,
124,lastfm,left,LMM,0.020110607147216797,0.0140030304590861,189971779550.0,30390947400.0,0.09998,10.008567443713888
125,lastfm,left,RMM,0.004852644602457682,0.024677864710489907,277433055212.0,46550473024.0,0.09998,10.008567443713888
126,lastfm,left,Left multiply T,0.002982314427693685,0.0003169457117716471,4468711.0,289992.0,0.09998,10.008567443713888
127,lastfm,left,Row summation T,0.014269081751505534,0.005388704935709635,4468711.0,289992.0,0.09998,10.008567443713888
128,lastfm,left,Column summation T,0.007845727602640788,0.005365594228108724,4468711.0,289992.0,0.09998,10.008567443713888
129,lastfm,left,LMM T,0.005629738171895345,0.027090207735697428,189971779550.0,189929992360.0,0.09998,10.008567443713888
130,lastfm,left,RMM T,0.052346539497375486,0.02476060390472412,2717726000207.0,288741292554.0,0.09998,10.008567443713888
131,lastfm,left,Linear Regression,1.7131271044413248,1.1007262945175171,37994355910.0,22032093976.0,0.09998,10.008567443713888
132,lastfm,outer,Left multiply,0.0023536125818888346,0.0002741893132527669,3639617.0,232000.0,0.1,10.008567443713888
133,lastfm,outer,Row summation,0.008483298619588216,0.0032097260157267255,3639617.0,232000.0,0.1,10.008567443713888
134,lastfm,outer,Column summation,0.01187598705291748,0.00513006051381429,3639617.0,232000.0,0.1,10.008567443713888
135,lastfm,outer,Materialization,,0.06414974530537923,,,,
136,lastfm,outer,LMM,0.017579007148742675,0.013490049044291179,189963488610.0,24313200000.0,0.1,10.008567443713888
137,lastfm,outer,RMM,0.004373439153035482,0.021582857767740885,231623953524.0,43346299040.0,0.1,10.008567443713888
138,lastfm,outer,Left multiply T,0.0026949008305867514,0.000316468874613444,3639617.0,232000.0,0.1,10.008567443713888
139,lastfm,outer,Row summation T,0.011940828959147136,0.005197962125142415,3639617.0,232000.0,0.1,10.008567443713888
140,lastfm,outer,Column summation T,0.008721486727396647,0.005185572306315104,3639617.0,232000.0,0.1,10.008567443713888
141,lastfm,outer,LMM T,0.005106600125630697,0.023172481854756673,189963488610.0,189929412440.0,0.1,10.008567443713888
142,lastfm,outer,RMM T,0.04013565381368001,0.017479268709818523,2432727424989.0,230997984000.0,0.1,10.008567443713888
143,lastfm,outer,Linear Regression,1.4945022821426392,1.2056668281555176,37992697722.0,21424261244.0,0.1,10.008567443713888
144,movie,inner,Left multiply,0.03423460324605306,0.00017905235290527344,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
145,movie,inner,Row summation,0.026337297757466634,0.004827125867207845,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
146,movie,inner,Column summation,0.08439842859903972,0.012140146891276042,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
147,movie,inner,Materialization,,0.32581779956817625,,,,
148,movie,inner,LMM,0.1452736536661784,0.083479372660319,133777953750.0,1302013400.0,1.6297895304910954,0.4037227889367967
149,movie,inner,RMM,0.04539702733357747,0.0681239684422811,362253013804.0,3273089776.0,1.6297895304910954,0.4037227889367967
150,movie,inner,Left multiply T,0.045686952273050946,0.00020114580790201822,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
151,movie,inner,Row summation T,0.08445409933725993,0.01263274351755778,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
152,movie,inner,Column summation T,0.028872736295064292,0.01266043980916341,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
153,movie,inner,LMM T,0.048870786031087236,0.035896587371826175,133777953750.0,133509014640.0,1.6297895304910954,0.4037227889367967
154,movie,inner,RMM T,0.3400228500366211,0.0566596269607544,37015467616197.0,209235721128.0,1.6297895304910954,0.4037227889367967
155,movie,inner,Linear Regression,8.607403643925984,2.0543716033299764,26755590750.0,13481102804.0,1.6297895304910954,0.4037227889367967
156,movie,left,Left multiply,0.03541543483734131,0.0001782655715942383,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
157,movie,left,Row summation,0.026752066612243653,0.004509520530700683,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
158,movie,left,Column summation,0.08421151638031006,0.012050167719523112,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
159,movie,left,Materialization,,0.3355256001154582,,,,
160,movie,left,LMM,0.1402064323425293,0.1016393502553304,133777953750.0,1302013400.0,1.6297895304910954,0.4037227889367967
161,movie,left,RMM,0.031688141822814944,0.056163303057352704,362253013804.0,3273089776.0,1.6297895304910954,0.4037227889367967
162,movie,left,Left multiply T,0.034360988934834795,0.00019304752349853517,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
163,movie,left,Row summation T,0.08424441814422608,0.012160587310791015,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
164,movie,left,Column summation T,0.026432140668233236,0.012086844444274903,27005643.0,111732.0,1.6297895304910954,0.4037227889367967
165,movie,left,LMM T,0.03406482537587484,0.033128730456034344,133777953750.0,133509014640.0,1.6297895304910954,0.4037227889367967
166,movie,left,RMM T,0.3088310162226359,0.052129483222961424,37015467616197.0,209235721128.0,1.6297895304910954,0.4037227889367967
167,movie,left,Linear Regression,8.565846467018128,2.2572897990544636,26755590750.0,13481102804.0,1.6297895304910954,0.4037227889367967
168,movie,outer,Left multiply,0.02865877151489258,0.0001668850580851237,21855724.0,89390.0,1.6296795952782461,0.4037227889367967
169,movie,outer,Row summation,0.027161002159118652,0.007137004534403483,21855724.0,89390.0,1.6296795952782461,0.4037227889367967
170,movie,outer,Column summation,0.06869559288024903,0.01210801601409912,21855724.0,89390.0,1.6296795952782461,0.4037227889367967
171,movie,outer,Materialization,,0.2943264961242676,,,,
172,movie,outer,LMM,0.11862817605336508,0.10026334921518962,133726454560.0,1041637460.0,1.6296795952782461,0.4037227889367967
173,movie,outer,RMM,0.02618876298268636,0.0658169666926066,293511894992.0,2974868760.0,1.6296795952782461,0.4037227889367967
174,movie,outer,Left multiply T,0.028430565198262533,0.00018042723337809244,21855724.0,89390.0,1.6296795952782461,0.4037227889367967
